x,y,type
9.6,0.86238473519192,point
9.6,0.281769455911721,point
9.6,0.530900752434783,point
9.6,2.06616153872334,point
9.6,0.948566461605916,point
9.6,0.250913078767222,point
9.6,0.457648920454106,point
9.6,0.236466902208672,point
9.6,0.642199717762147,point
9.6,0.945486349896649,point
9.6,0.832120371553323,point
9.6,0.645792947994156,point
9.6,0.744634738572076,point
9.6,0.91661269085326,point
9.6,0.677034595224085,point
9.6,2.12440092970441,point
9.6,1.05632687228564,point
9.6,0.72353322398621,point
9.6,0.661138468065455,point
9.6,0.524882107811055,point
9.6,0.401253634794112,point
9.6,0.112745097433965,point
9.6,0.274946238410838,point
9.6,0.689901164382287,point
9.6,1.30441174359238,point
9.7,0.198810946001547,point
9.7,0.666349399069812,point
9.7,1.88771631770498,point
9.7,0.197315628612974,point
9.7,0.743728652908286,point
9.7,0.0792890803049521,point
9.7,0.562917905341176,point
9.7,0.945388960248239,point
9.7,0.0889952894132699,point
9.7,0.786981029281671,point
9.7,2.00179864039468,point
9.7,2.0466831273582,point
9.7,0.66374173284426,point
9.7,0.176627876760919,point
9.7,1.78433227315657,point
9.7,0.746958502055901,point
9.7,0.374200407999808,point
9.7,0.717571805035239,point
9.7,0.547975875174788,point
9.7,1.87149672930534,point
9.7,2.98060299398195,point
9.7,2.37008335340358,point
9.7,0.716180563438863,point
9.7,0.737875359288237,point
9.8,1.28135403911729,point
9.8,1.26518482248247,point
9.8,0.390658881901741,point
9.8,0.913218400784258,point
9.8,1.6010594033831,point
9.8,1.44912817093143,point
9.8,0.147485152050546,point
9.8,1.18215833799585,point
9.8,1.12668217412855,point
9.8,0.542361078042863,point
9.8,0.994348005526127,point
9.9,0.800767812878511,point
9.9,0.378837857397891,point
9.9,0.221074020241918,point
9.9,1.1036587694181,point
9.9,0.316309122600723,point
9.9,2.03806387053714,point
9.9,1.66716094421803,point
9.9,0.341668148630558,point
9.9,0,point
9.9,1.47689490016932,point
9.9,0.262832414388338,point
9.9,0.2813884639113,point
9.9,0.987414010445798,point
9.9,0.34941963242738,point
9.9,1.43223253336078,point
9.9,0.402547558709239,point
9.9,0.707815420943341,point
10,0.769469630124546,point
10,0,point
10,0.726438018160098,point
10,0.492389550894802,point
10,0.556757034953709,point
10,0.305181417980325,point
10,0.457631061332443,point
10,1.74420416045126,point
10,0.72087993710092,point
10,0.57350734910884,point
10,3.30269046237626,point
10,0.102791545094748,point
10,0.255567201336355,point
10,0.174683808629892,point
10,0,point
10,1.28863614722491,point
10,1.12809539633752,point
10,0.134884098408036,point
10,0.174003660554372,point
10,0.767036065060488,point
